lat,lon,speed_kmh
40.494823,-3.385368,113.300000
40.494640,-3.385658,113.300000
40.494465,-3.385944,113.300000
40.494286,-3.386226,113.800000
40.494106,-3.386519,114.300000
40.493916,-3.386803,115.100000
40.493729,-3.387081,116.200000
40.493534,-3.387376,116.900000
40.493340,-3.387671,117.500000
40.493145,-3.387969,117.800000
40.492943,-3.388267,118.200000
40.492752,-3.388546,118.000000
40.492561,-3.388830,118.300000
40.492359,-3.389119,118.700000
40.492165,-3.389410,117.700000
40.491966,-3.389699,118.400000
40.491764,-3.389988,118.500000
40.491558,-3.390271,118.600000
40.491348,-3.390556,117.600000
40.491138,-3.390833,117.700000
40.490936,-3.391115,117.900000
40.490719,-3.391402,118.100000
40.490513,-3.391680,118.100000
40.490318,-3.391951,117.800000
40.490105,-3.392232,117.900000
40.489902,-3.392500,117.900000
40.489700,-3.392772,119.200000
40.489506,-3.393032,118.900000
40.489300,-3.393304,119.800000
40.489105,-3.393589,120.200000
40.488899,-3.393865,121.300000
40.488674,-3.394155,122.200000
40.488457,-3.394449,121.800000
40.488247,-3.394743,122.600000
40.488037,-3.395039,122.600000
40.487823,-3.395322,122.300000
40.487602,-3.395614,123.300000
40.487373,-3.395904,122.800000
40.487160,-3.396189,123.700000
40.486942,-3.396472,123.300000
40.486725,-3.396751,122.700000
40.486507,-3.397017,121.000000
40.486282,-3.397284,120.500000
40.486061,-3.397543,119.600000
40.485836,-3.397796,120.700000
40.485615,-3.398042,118.500000
40.485394,-3.398287,116.900000
40.485172,-3.398525,117.500000
40.484943,-3.398759,117.600000
40.484699,-3.398974,116.700000
40.484467,-3.399191,117.500000
40.484226,-3.399428,118.500000
40.483967,-3.399662,117.300000
40.483734,-3.399874,117.700000
40.483479,-3.400107,119.300000
40.483231,-3.400343,118.500000
40.482994,-3.400570,119.200000
40.482750,-3.400831,121.100000
40.482513,-3.401056,121.900000
40.482273,-3.401291,120.800000
40.482025,-3.401532,121.900000
40.481789,-3.401771,121.700000
40.481548,-3.402012,122.500000
40.481304,-3.402259,123.000000
40.481052,-3.402517,122.100000
40.480820,-3.402749,121.900000
40.480576,-3.403002,121.400000
40.480328,-3.403244,121.400000
40.480083,-3.403482,120.600000
40.479843,-3.403723,120.600000
40.479607,-3.403955,121.100000
40.479359,-3.404217,120.800000
40.479130,-3.404464,120.700000
40.478912,-3.404703,120.400000
40.478691,-3.404958,120.500000
40.478481,-3.405209,119.400000
40.478256,-3.405483,120.100000
40.478050,-3.405756,119.800000
40.477833,-3.406030,120.700000
40.477627,-3.406311,120.800000
40.477425,-3.406598,119.700000
40.477226,-3.406875,120.100000
40.477024,-3.407166,120.300000
40.476818,-3.407472,120.700000
40.476627,-3.407781,120.300000
40.476437,-3.408095,119.700000
40.476269,-3.408421,119.400000
40.476089,-3.408741,120.100000
40.475910,-3.409051,119.800000
40.475742,-3.409378,120.300000
40.475571,-3.409701,120.200000
40.475410,-3.410026,120.800000
40.475246,-3.410353,120.400000
40.475094,-3.410694,121.600000
40.474934,-3.411036,124.100000
40.474777,-3.411397,122.700000
40.474632,-3.411751,122.000000
40.474510,-3.412101,122.700000
40.474377,-3.412467,122.000000
40.474251,-3.412818,121.200000
